[83, 75, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 84, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 84, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 83, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 83, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [82, 83] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [82, 79] : 287 : 1.0 : 34.30662020905923
[82, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [82, 75] : 287 : 1.0 : 34.30662020905923
[82, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[82, 83] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[82, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[82, 83, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[82, 83, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 78, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 75, 78] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 78, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 78] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [78, 79] : 287 : 1.0 : 34.30662020905923
[75, 78] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [75, 78] : 287 : 1.0 : 34.30662020905923
[78, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 78] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[75, 78, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 75, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 78, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 83, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 83, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [81, 83] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [81, 79] : 287 : 1.0 : 34.30662020905923
[81, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [81, 75] : 287 : 1.0 : 34.30662020905923
[81, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[81, 83] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[81, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[81, 83, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[81, 83, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 77, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 75, 77] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 77, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 77] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [77, 79] : 287 : 1.0 : 34.30662020905923
[75, 77] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [75, 77] : 287 : 1.0 : 34.30662020905923
[77, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 77] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[75, 77, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 75, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 77, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 83, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 83, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [80, 83] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [80, 79] : 287 : 1.0 : 34.30662020905923
[80, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [80, 75] : 287 : 1.0 : 34.30662020905923
[80, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[80, 83] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[80, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[80, 83, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[80, 83, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 20, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 20, 75] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [20, 75, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 20] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [20, 79] : 287 : 1.0 : 34.30662020905923
[20, 75] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [20, 75] : 287 : 1.0 : 34.30662020905923
[20, 79] : 287 => [83, 75] : 287 : 1.0 : 34.30662020905923
[83, 20] : 287 => [75, 79] : 287 : 1.0 : 34.30662020905923
[20, 75, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 20, 75] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[83, 20, 79] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [83, 76, 79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 75, 76] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [75, 76, 79] : 287 : 1.0 : 34.30662020905923
[75, 79] : 287 => [83, 76] : 287 : 1.0 : 34.30662020905923
[83, 75] : 287 => [76, 79] : 287 : 1.0 : 34.30662020905923
[75, 76] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [75, 76] : 287 : 1.0 : 34.30662020905923
